isBinaryCheck, sfObject, correctValue, issue, severity, description, notes, references, findingID
yes,canUsersGrantLoginAccess,false,Users can grant Login Access,Informational,...TBC...,...TBC...,https://help.salesforce.com/s/articleView?id=sf.granting_login_access.htm&type=5,4444
yes,enableAdminLoginAsAnyUser,false,Administrators can Login as Any User,Informational,This setting allows Administrators to impersonate users and is often unneccessary. Immediate risks include Administrators exfiltrating data under the guise of another user (This may be mitigatable using certain logs).,This is a very contextual issue and can be ignored depending on risk appetite,https://help.salesforce.com/s/articleView?id=000334140&type=1,4444
no,minimumPasswordLength,8,Minimum Password Length Too Short,Medium,This currently only checks if the default password length (8) is set. It should be raised for any length less than 14,NOTE: Please don't raise this issue if Single Sign-On is exclusively used and no local Salesforce accounts exist,https://help.salesforce.com/s/articleView?id=sf.admin_password.htm&type=5,4444
no,maxLoginAttempts,6,Too Many Password Attempts Allowed,Low,3 Login Attempts is sufficient as any more can prove fatal to password spray attacks,This is contextual pending individual risk appetite - personally I don't like more than 3,https://help.salesforce.com/s/articleView?id=sf.admin_password.htm&type=5,4444
yes,enableXssProtection,true,XSS Protection Enabled,Low,I'm not sure why you would ever turn this off - see references for clarification,No further comment,https://owasp.org/www-community/attacks/xss/,4444
yes,enforceIpRangesEveryRequest,true,IP Ranges Enforced on Every Request,Low,If using IP Login Ranges (which you should be) this setting should be enabled,Feel free to ignore this if the context of the application doesn't require such security,https://google.com,4444
yes,forceLogoutOnSessionTimeout,true,Force Logout on Session Timeout,Low,...TBC...,...TBC...,https://google.com,4444
yes,identityConfirmationOnEmailChange,true,Confirm User Identity on Email Change,Informational,...TBC...,...TBC...,https://google.com,4444
yes,identityConfirmationOnTwoFactorRegistrationEnabled,true,Confirm User Identity on MFA Registration,Low,...TBC...,...TBC...,https://google.com,4444
yes,lockSessionsToIp,true,Lock User Sessions to Login IP,Low,...TBC...,...TBC...,https://google.com,4444
yes,redirectionWarning,true,Redirection from Salesforce Shows Warning,Medium,...TBC...,...TBC...,https://google.com,4444
yes,requireHttpOnly,true,Require HttpOnly Header Attribute,Medium,...TBC...,...TBC...,https://google.com,4444
yes,isLoginWithSalesforceCredentialsDisabled,true,Salesforce Credential Login Allowed,Informational,...TBC...,...TBC...,https://google.com,4444
yes,enableCSPOnEmail,true,CSP on Email,Low,...TBC...,...TBC...,https://google.com,4444
yes,enableCSRFOnGet,true,CSRF on GET Requests,Medium,...TBC...,...TBC...,https://google.com,4444
yes,enableCSRFOnPost,true,CSRF on POST Requests,Medium,...TBC...,...TBC...,https://google.com,4444
